era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
wg-era,t_9b60f1510159,work,done,2026-05-22T15:48:02.520393119+00:00,2026-05-22T15:53:00.647878407+00:00,5.0,1
wg-era,t_a832ca78a325,governance,done,2026-05-22T15:53:25.899622481+00:00,2026-05-22T15:57:43.333305629+00:00,4.3,1
wg-era,t_75374c35b130,work,done,2026-05-22T15:58:21.724047273+00:00,2026-05-22T16:03:36.326793159+00:00,5.2,1
wg-era,t_3344183aa465,work,done,2026-05-22T18:49:21.801434009+00:00,2026-05-22T18:51:48.115061015+00:00,2.4,1
wg-era,t_77763bbdd51f,work,abandoned,2026-05-22T19:40:24.158233903+00:00,,,
wg-era,t_4c8f7ac4ca32,work,done,2026-05-22T19:32:30.857871724+00:00,2026-05-22T19:42:27.671566438+00:00,9.9,1
wg-era,t_c0bdeb13fb6d,work,done,2026-05-22T19:44:13.895174883+00:00,2026-05-22T20:02:57.303436085+00:00,18.7,1
wg-era,t_b8be595a38c7,work,done,2026-05-22T20:01:06.411363138+00:00,2026-05-22T20:12:07.117186178+00:00,11.0,1
wg-era,t_6d3156aa87d6,work,done,2026-05-22T19:44:26.362445940+00:00,2026-05-22T20:13:19.232851716+00:00,28.9,1
wg-era,t_5a7af4213ce5,work,done,2026-05-22T20:58:59.271114841+00:00,2026-05-22T21:08:34.607404861+00:00,9.6,1
wg-era,t_c4327ddd57cc,work,done,2026-05-22T20:59:15.778372242+00:00,2026-05-22T21:27:49.669731826+00:00,28.6,1
wg-era,t_1d6ada848359,work,done,2026-05-28T23:42:28.706808518+00:00,2026-05-28T23:59:21.106944388+00:00,16.9,1
wg-era,t_eaebc4ff2a14,work,done,2026-05-28T02:17:08.278020331+00:00,2026-05-28T02:39:22.963837031+00:00,22.2,1
wg-era,t_b927abcc495c,work,done,2026-05-26T20:31:16.973530369+00:00,2026-05-26T20:36:53.371486924+00:00,5.6,1
wg-era,t_5952b7d01409,work,done,2026-05-28T20:29:48.488904119+00:00,2026-05-28T20:50:09.106138122+00:00,20.3,1
wg-era,t_62fc56493231,work,done,2026-05-28T20:48:10.650344657+00:00,2026-05-28T20:53:17.565644154+00:00,5.1,1
